Account_ID,Customer_ID,Branch_Name,Account_Type,Account_Balance,Credit_Card_Usage
1,1044,Chennai Branch,Current,96757.18,81773.48
2,2841,Chennai Branch,Savings,377701.26,152114.27
3,3968,Chennai Branch,Savings,1730894.93,149401.01
4,218,Ahmedabad Branch,Current,1696502.47,16609.37
5,4955,Chennai Branch,Current,1005286.28,27056.02
6,1185,Delhi Central Branch,Loan,1705895.63,167299.26
7,3024,Chennai Branch,Savings,1183467.06,241107.91
8,3155,Chennai Branch,Savings,1207891.32,148674.42
9,3682,Mumbai Main Branch,Savings,1225748.76,253730.2
10,2933,Mumbai Main Branch,Loan,953938.52,230309.66
11,4640,Delhi Central Branch,Current,66589.93,105487.17
12,2990,Kolkata Branch,Current,1844738.86,193642.67
13,3962,Delhi Central Branch,Savings,1811749.09,97106.21
14,3255,Kolkata Branch,Current,229193.08,51519.56
15,4995,Ahmedabad Branch,Savings,98136.6,198260.19
16,2465,Bangalore Branch,Current,377117.64,254663.07
17,1380,Mumbai Main Branch,Loan,1722893.34,114996.38
18,834,Ahmedabad Branch,Loan,602604.5,262246.79
19,4826,Chennai Branch,Savings,766417.66,204681.85
20,4311,Pune Branch,Savings,572613.25,177325.82
21,101,Delhi Central Branch,Loan,884617.1,110157.93
22,1779,Delhi Central Branch,Loan,1727977.95,244377.55
23,2153,Kolkata Branch,Loan,1964626.31,50001.83
24,1899,Ahmedabad Branch,Loan,1950370.41,250444.16
25,1920,Bangalore Branch,Current,545748.01,153676.06
26,996,Delhi Central Branch,Current,1434478.89,76684.86
27,3747,Mumbai Main Branch,Savings,1369019.02,136865.98
28,3075,Bangalore Branch,Savings,1395633.63,25262.16
29,3894,Mumbai Main Branch,Loan,493315.18,99049.31
30,317,Hyderabad Branch,Current,411981.53,5141.65
31,4019,Pune Branch,Loan,1445912.13,74185.55
32,3231,Pune Branch,Current,992815.57,17075.43
33,1048,Pune Branch,Loan,964488.69,84624.79
34,1915,Mumbai Main Branch,Current,730221.91,170762.46
35,4338,Mumbai Main Branch,Savings,1176160.2,142256.03
36,259,Kolkata Branch,Savings,860688.74,266497.9
37,3487,Kolkata Branch,Savings,224306.97,83467.87
38,642,Delhi Central Branch,Savings,842020.83,188987.14
39,2262,Delhi Central Branch,Savings,623388.14,64883.22
40,3931,Ahmedabad Branch,Current,964014.69,26902.71
