Loan_ID,Customer_ID,Loan_Amount,Loan_Status
1,4008,3618900.33,Approved
2,527,2679224.2,Approved
3,960,2096002.93,Approved
4,4031,1711396.99,Rejected
5,1440,593573.25,Approved
6,1402,562819.34,Pending
7,894,1292240.12,Approved
8,1718,2751230.98,Pending
9,3734,3977960.19,Pending
10,3741,610855.74,Rejected
11,3226,4736918.26,Pending
12,2009,4796778.7,Pending
13,1936,1948506.73,Pending
14,4193,1403846.49,Approved
15,2676,1328737.4,Approved
16,15,1500315.63,Rejected
17,308,4722264.48,Rejected
18,4143,1479281.06,Pending
19,2563,1098455.41,Rejected
20,3324,4103183.89,Pending
21,3083,2377238.67,Approved
22,2766,1140257.85,Pending
23,107,3217999.43,Pending
24,3177,3586797.64,Approved
25,1081,2575408.18,Rejected
26,1016,4925963.03,Pending
27,2529,3028593.15,Pending
28,2124,1592303.9,Approved
29,2110,2699497.84,Approved
30,3349,4520188.56,Rejected
31,4526,3550518.68,Rejected
32,1922,1683523.27,Pending
33,2103,3180646.25,Rejected
34,928,1309199.92,Rejected
35,3295,4731541.25,Approved
36,4529,3075964.25,Rejected
37,35,3738420.27,Pending
38,2044,2716884.9,Pending
39,2608,3455862.32,Approved
40,1793,3570672.64,Approved
41,760,1202443.5,Pending
42,1489,2377323.63,Rejected
43,4259,1241320.08,Rejected
44,689,872975.29,Rejected
45,458,2364288.86,Rejected
46,3510,4257923.88,Approved
47,3824,4320120.17,Rejected
48,1370,4166537.18,Approved
49,1549,2119302.3,Approved
50,170,2778909.98,Rejected
51,3203,1184789.08,Pending
52,460,55237.6,Rejected
53,1109,338529.64,Rejected
54,3007,1366461.65,Pending
55,2444,405479.78,Approved
56,3683,3439302.14,Approved
57,2035,2793799.54,Approved
58,3889,499553.94,Rejected
59,583,3671828.88,Rejected
60,1655,3759760.31,Approved
61,3014,3479719.39,Approved
62,3135,915944.34,Approved
63,4613,1354128.2,Approved
64,3009,333306.16,Approved
65,1947,103434.19,Approved
66,2344,4374632.64,Approved
67,2491,4500024.04,Rejected
68,3505,157052.23,Rejected
69,2130,1126133.29,Rejected
70,3730,3220357.43,Pending
71,3633,2035432.77,Rejected
72,3664,1233995.32,Pending
73,3626,325407.71,Pending
74,2352,4393785.12,Rejected
75,2660,4007674.05,Rejected
76,1894,4790606.44,Rejected
77,1712,3352261.52,Rejected
78,1316,4117107.68,Approved
79,3951,181457.35,Rejected
80,4440,3782524.34,Rejected
81,4225,3596854.8,Pending
82,2503,2520693.74,Rejected
83,4361,437049.38,Pending
84,634,4711241.1,Pending
85,1969,1628144.42,Rejected
86,4711,2614140.72,Approved
87,1269,268525.23,Rejected
88,2856,4216960.47,Rejected
89,4956,3132713.75,Rejected
90,3199,2655180.95,Pending
91,620,2863427.55,Pending
92,1634,4716285.58,Rejected
93,3427,3925890.8,Approved
94,2053,1704673.17,Pending
95,2425,3504724.92,Pending
96,3960,4714538.39,Approved
97,2150,3954331.45,Pending
98,4224,3680530.82,Rejected
99,104,4104046.16,Pending
100,3755,3623519.04,Rejected
101,4248,2798015.55,Rejected
102,277,4185524.3,Pending
103,1198,4874914.39,Pending
104,1016,2084166.31,Approved
105,2225,284778.51,Approved
106,3019,685302.92,Rejected
107,987,1494094.96,Pending
108,4850,4724776.02,Pending
109,2296,3391946.39,Rejected
110,2753,1358000.51,Approved
111,4699,4818484.21,Approved
112,1269,2814099.73,Rejected
113,1892,4678891.25,Rejected
114,4715,454963.87,Rejected
115,2738,2806219.49,Rejected
116,3717,2390095.27,Pending
117,4143,478449.92,Pending
118,3388,1939664.07,Pending
119,4461,4745821.33,Pending
120,54,599344.21,Rejected
121,440,572695.88,Pending
122,78,4665593.23,Approved
123,4342,4026464.6,Approved
124,1617,1168800.7,Approved
125,1263,1120216.69,Rejected
126,2697,4665945.01,Approved
127,4458,4230985.17,Pending
128,541,443291.56,Rejected
129,3791,1119232.99,Rejected
130,3020,4017242.13,Rejected
131,2051,4357834.85,Rejected
132,2676,4725562.95,Pending
133,772,2192693.89,Approved
134,1657,220053.92,Pending
135,232,3518526.28,Approved
136,2476,3442678.38,Pending
137,1955,4960516.08,Pending
138,774,4439439.5,Rejected
139,4898,3508010.01,Rejected
140,3997,3329352.62,Approved
141,902,2717018.51,Pending
142,91,494787.78,Pending
143,2098,135384.44,Pending
144,4388,2787737.39,Pending
145,657,923886.01,Approved
146,2983,4530833.18,Approved
147,939,3523264.1,Rejected
148,2075,4410939.75,Approved
