Transaction_ID,Account_ID,Transaction_Date,Transaction_Amount,Transaction_Type
1,4703,2026-01-08,184807.85,Credit
2,4202,2026-01-31,242137.67,Credit
3,4930,2026-01-07,108298.21,Debit
4,2570,2025-10-21,217921.53,Credit
5,130,2026-04-04,221320.81,Credit
6,3065,2025-03-13,117966.1,Credit
7,2537,2024-12-03,131449.12,Debit
8,4009,2025-10-27,87940.54,Credit
9,3183,2025-07-30,170819.37,Credit
10,1858,2025-11-21,160976.38,Credit
11,4044,2024-09-02,174096.7,Credit
12,4688,2025-01-01,2143.06,Credit
13,648,2025-06-27,41652.73,Debit
14,1502,2025-08-07,221423.67,Credit
15,4620,2025-09-17,50149.5,Debit
16,4301,2024-11-04,31754.82,Credit
17,1218,2025-08-06,189307.28,Credit
18,1348,2025-11-06,66187.53,Debit
19,3784,2024-12-01,46595.53,Debit
20,2248,2024-07-30,129966.91,Credit
21,61,2026-03-02,180812.58,Credit
22,3541,2025-05-24,2648.23,Credit
23,107,2024-12-31,170967.73,Debit
24,4566,2025-12-13,114977.53,Credit
25,3560,2025-09-05,220560.5,Debit
26,1028,2025-04-28,177862.52,Debit
27,4989,2025-03-26,63982.78,Debit
28,2201,2024-05-23,210170.25,Credit
29,1221,2025-03-02,216302.61,Debit
30,2009,2024-06-03,238855.81,Debit
31,1566,2024-05-23,246127.58,Debit
32,2571,2024-08-13,54837.42,Credit
33,3548,2025-03-25,65685.44,Credit
34,11,2025-07-03,87681.64,Credit
35,2783,2024-12-01,140418.83,Credit
36,2931,2025-01-25,91544.38,Credit
37,3325,2024-11-10,88666.26,Credit
38,3368,2025-10-07,42729.6,Debit
39,4043,2024-11-12,4452.05,Debit
40,286,2026-02-13,55724.24,Debit
41,1997,2026-03-03,4183.66,Debit
42,3608,2024-12-26,223594.87,Debit
43,3051,2026-01-25,216130.0,Credit
44,1759,2025-11-21,685.97,Debit
45,2622,2025-08-11,55998.51,Debit
46,1619,2025-01-08,114483.31,Debit
47,2209,2025-08-25,47431.62,Credit
48,3484,2025-12-01,2469.84,Credit
49,315,2025-10-01,57087.53,Credit
50,3911,2025-11-27,127313.97,Debit
51,1666,2024-07-28,48066.2,Credit
52,3359,2025-08-19,100871.18,Debit
53,2362,2025-07-09,188018.8,Credit
54,4329,2025-02-12,6922.54,Debit
55,18,2025-06-27,152368.16,Credit
56,378,2024-12-25,101023.18,Debit
57,4073,2025-06-17,144014.0,Credit
58,1997,2025-09-30,244824.37,Debit
59,3372,2025-10-28,176861.91,Credit
60,153,2025-02-04,126476.1,Credit
61,3261,2024-12-21,159821.55,Credit
62,3728,2026-02-27,79372.04,Debit
63,3314,2026-05-05,1026.25,Debit
64,2468,2025-02-14,137246.97,Debit
65,2402,2025-08-03,72475.32,Debit
66,1793,2026-02-08,188508.85,Debit
67,642,2025-08-18,248689.32,Debit
68,784,2026-02-10,104388.47,Credit
69,749,2025-05-06,117949.94,Debit
70,1813,2025-02-24,200346.16,Credit
71,3774,2026-04-01,28968.64,Debit
72,2944,2024-05-27,148863.31,Credit
73,1046,2025-02-08,224402.71,Credit
74,956,2025-04-19,145919.58,Credit
75,4850,2026-01-10,151280.14,Credit
76,736,2024-06-28,62298.72,Credit
77,890,2025-02-23,180904.88,Credit
78,2382,2025-01-07,218112.52,Credit
79,4638,2024-09-14,74831.23,Debit
80,4934,2025-06-14,40082.06,Debit
81,3827,2025-05-25,62779.05,Credit
82,1908,2026-02-05,123916.41,Debit
83,3541,2025-10-04,76681.0,Credit
84,4153,2026-03-21,119141.25,Credit
85,2066,2024-12-20,70632.75,Debit
86,3752,2024-09-06,66647.05,Credit
87,2497,2024-12-22,96098.04,Credit
88,2837,2024-11-24,183473.58,Credit
89,2807,2025-11-22,60466.04,Debit
90,423,2024-08-29,83424.48,Debit
91,223,2024-07-16,62752.07,Debit
92,1813,2025-06-05,238906.2,Debit
93,3255,2025-01-01,194892.85,Credit
94,1252,2025-09-09,117982.83,Debit
95,4,2026-03-06,114290.32,Credit
96,3401,2024-08-08,63320.19,Debit
97,7,2025-07-13,156619.58,Credit
98,2982,2024-05-16,87393.04,Debit
99,2858,2025-01-26,141880.26,Credit
100,339,2025-06-07,207599.1,Debit
101,2663,2025-08-21,136278.25,Debit
102,987,2026-05-09,108342.1,Credit
103,4306,2024-05-25,168637.5,Credit
104,2947,2026-02-01,178371.17,Credit
105,2880,2024-08-17,50336.9,Debit
106,4335,2025-01-21,10394.32,Debit
107,4946,2025-09-22,46240.84,Debit
108,671,2026-01-17,126554.9,Debit
109,1373,2025-11-28,83919.86,Debit
110,2864,2025-12-13,129002.1,Credit
111,172,2024-07-04,147927.89,Credit
112,685,2024-06-04,126797.1,Credit
113,2446,2025-01-15,58642.03,Credit
114,1521,2024-10-22,156915.19,Debit
115,221,2026-01-11,167083.13,Credit
116,2237,2024-06-03,100915.3,Credit
117,4273,2024-08-31,142386.36,Debit
118,4899,2025-02-20,33296.66,Debit
119,1083,2024-05-28,25701.37,Debit
120,242,2024-12-13,200280.64,Debit
121,3762,2024-09-13,171083.53,Debit
122,4852,2025-08-14,93484.41,Credit
123,115,2024-06-27,210143.13,Credit
124,2566,2025-07-01,221246.17,Credit
125,3335,2026-03-01,125553.3,Credit
126,2207,2025-09-13,81814.85,Credit
127,4180,2024-10-21,125800.79,Credit
128,2134,2024-11-15,142040.37,Debit
129,808,2025-09-07,160132.36,Credit
130,2703,2025-01-06,85612.83,Debit
131,4944,2025-07-14,188262.33,Credit
132,1978,2025-06-11,138950.43,Credit
133,150,2024-12-17,73847.64,Credit
134,2628,2025-09-05,96717.99,Credit
135,3002,2026-03-29,99706.2,Debit
136,4252,2025-01-20,136577.04,Credit
137,3594,2026-01-26,124560.57,Debit
138,4990,2025-09-12,164059.48,Debit
139,2402,2025-12-30,43711.76,Credit
140,4242,2024-10-30,91797.54,Credit
141,215,2025-10-02,8472.81,Debit
142,4166,2026-02-26,115081.28,Credit
143,3194,2025-05-12,160553.56,Debit
144,2358,2024-10-22,175801.52,Credit
145,4911,2024-11-06,115699.14,Credit
146,3009,2025-10-04,157788.6,Credit
147,3050,2025-06-28,139181.34,Debit
148,3317,2024-08-14,243615.51,Debit
149,2027,2024-08-10,127315.63,Debit
150,3843,2024-10-10,17287.63,Credit
151,3102,2026-03-26,60742.53,Credit
152,22,2026-01-25,25170.06,Debit
153,2789,2025-06-08,25979.7,Credit
154,3302,2026-04-03,128562.06,Debit
155,4957,2025-02-08,203474.04,Debit
156,1462,2025-11-25,56647.91,Debit
157,1038,2024-12-10,122374.17,Debit
158,3488,2024-08-06,239145.49,Debit
159,59,2024-05-16,39626.37,Debit
160,655,2025-07-16,134978.1,Credit
161,3428,2026-04-05,53551.92,Credit
162,2454,2024-11-04,169304.81,Debit
163,1646,2026-04-18,127454.02,Debit
164,3846,2025-11-17,84866.7,Debit
165,3410,2026-03-15,214158.54,Credit
166,614,2024-12-28,2747.84,Credit
167,4793,2024-08-04,11756.3,Debit
168,4392,2025-10-17,222906.41,Debit
169,2947,2024-11-29,104038.97,Debit
170,2870,2025-04-29,238026.89,Debit
171,3823,2025-02-21,51418.33,Credit
172,425,2025-08-01,174996.05,Credit
173,635,2024-07-13,39257.6,Debit
174,621,2024-09-06,145068.95,Credit
175,2208,2025-08-22,135459.34,Credit
176,962,2024-05-22,109676.56,Debit
177,4305,2025-06-05,4996.79,Debit
178,4325,2026-03-19,129993.57,Debit
179,216,2026-04-25,214130.66,Credit
180,568,2024-12-25,69334.18,Debit
181,4094,2024-08-31,162674.77,Credit
182,2350,2025-08-03,116918.99,Debit
183,2488,2025-10-03,91562.49,Debit
184,4912,2025-11-25,84390.69,Debit
185,2207,2024-10-18,134933.8,Credit
186,1353,2025-10-08,78693.24,Debit
187,2615,2025-12-22,2439.96,Credit
188,2192,2024-07-05,78386.63,Debit
189,4128,2024-11-01,68925.99,Credit
190,331,2026-03-25,222491.43,Credit
191,1212,2025-04-16,86460.76,Credit
192,1323,2026-03-13,29470.8,Debit
193,4706,2024-12-17,67173.92,Debit
194,824,2025-03-12,9885.7,Debit
195,1239,2026-03-22,62027.4,Credit
196,1478,2025-01-26,127891.88,Debit
197,4000,2024-10-03,228803.99,Credit
198,1642,2025-12-23,138438.65,Debit
199,4919,2024-11-29,189082.29,Debit
200,4557,2026-03-02,148141.71,Credit
201,3043,2025-10-31,97412.45,Debit
202,928,2024-11-22,156995.54,Credit
203,249,2025-03-04,25081.86,Debit
204,4802,2024-07-31,197081.0,Credit
205,2791,2025-11-08,73454.16,Credit
206,1618,2024-11-08,30443.74,Credit
207,108,2025-04-03,91531.22,Credit
208,1697,2026-04-23,121049.87,Credit
209,2393,2024-07-15,91244.57,Credit
210,2308,2026-04-07,165230.89,Credit
211,1886,2025-05-11,61220.02,Debit
212,2107,2025-04-27,213035.93,Debit
213,2316,2025-09-10,230470.54,Debit
214,2546,2024-05-15,24882.44,Debit
215,43,2025-01-23,9421.44,Debit
216,2160,2024-07-06,174997.08,Debit
217,45,2025-10-08,99604.35,Debit
218,2767,2026-04-29,167214.74,Credit
219,2152,2024-09-03,132272.13,Debit
220,2715,2025-06-09,59708.08,Credit
221,3499,2025-11-26,190303.89,Debit
222,3772,2025-01-16,221625.31,Debit
223,3171,2026-03-13,51034.53,Credit
224,4668,2025-08-24,248135.43,Credit
225,4282,2026-01-30,160890.1,Debit
226,4195,2024-12-02,195764.27,Credit
227,3204,2025-09-09,53541.48,Debit
228,1520,2025-09-17,96032.61,Debit
229,3029,2024-08-08,247372.56,Credit
230,3079,2025-03-18,232432.89,Credit
231,4409,2025-04-04,134384.79,Credit
232,4190,2024-09-16,175318.36,Debit
233,829,2025-07-24,241455.95,Credit
234,3707,2024-06-15,228076.81,Debit
235,48,2025-02-19,209627.12,Credit
236,1473,2024-06-20,139648.62,Debit
237,1318,2025-12-28,31035.28,Credit
238,3777,2024-11-06,240116.23,Credit
239,2535,2024-09-03,234683.14,Credit
240,3982,2024-10-02,229198.67,Credit
241,2050,2026-04-02,155585.67,Credit
242,1543,2025-11-08,25367.13,Debit
243,2462,2025-12-10,99790.29,Credit
244,2787,2025-03-03,104599.91,Debit
245,283,2025-11-05,20750.68,Credit
246,1722,2025-01-22,215947.54,Credit
247,619,2024-07-18,152506.54,Credit
248,4479,2024-10-18,145795.42,Credit
249,2293,2025-11-13,50255.23,Credit
250,3685,2025-10-13,180390.01,Credit
251,3779,2024-09-11,64206.99,Debit
252,3294,2025-01-17,100816.18,Credit
253,1174,2026-05-09,192596.73,Credit
254,2552,2025-09-02,119659.41,Debit
255,3036,2024-10-20,52052.85,Credit
256,3333,2025-10-14,116183.55,Credit
257,995,2025-06-05,218088.96,Credit
258,1843,2024-10-19,182400.43,Credit
259,3081,2024-05-17,73177.04,Debit
260,3984,2025-09-04,196808.84,Credit
261,2250,2025-01-16,128540.83,Credit
262,2088,2025-09-04,100086.34,Debit
263,4466,2026-01-30,64462.84,Debit
264,1414,2026-01-09,168341.35,Credit
265,2595,2024-12-08,126458.47,Credit
266,2427,2026-03-16,53936.35,Debit
267,449,2024-09-27,22634.21,Credit
268,3525,2024-05-29,203562.97,Debit
269,4347,2025-12-03,21450.64,Debit
270,3052,2024-09-03,52019.2,Credit
271,1679,2026-01-27,235212.39,Credit
272,919,2026-04-22,38592.73,Debit
273,4142,2025-05-11,63951.14,Credit
274,1144,2025-10-20,15100.14,Debit
275,1452,2024-10-19,234655.25,Credit
276,554,2024-11-15,190812.95,Debit
277,2408,2025-07-12,4173.16,Debit
278,700,2025-08-04,46085.51,Debit
279,4536,2025-12-31,54899.39,Debit
280,3700,2025-06-14,193238.66,Debit
281,996,2024-07-31,60366.23,Credit
282,3265,2024-10-13,6009.89,Debit
283,3534,2025-01-28,245906.77,Credit
284,1752,2025-12-14,32435.21,Credit
285,4766,2024-11-14,144618.6,Credit
286,2890,2024-12-22,154110.15,Debit
287,609,2025-05-18,218407.88,Credit
288,3802,2024-08-29,195855.46,Debit
289,379,2025-12-09,31104.66,Credit
290,754,2026-04-16,100518.91,Credit
291,912,2024-11-06,194829.4,Credit
292,2831,2026-03-04,217142.8,Debit
293,370,2026-01-29,59250.03,Debit
294,2760,2024-05-29,182465.49,Debit
295,2876,2026-04-05,94937.33,Credit
296,4118,2026-05-12,50399.19,Debit
297,1047,2025-04-13,106673.49,Credit
298,3580,2024-09-28,73028.32,Credit
299,1536,2025-08-24,82035.39,Credit
300,3852,2024-10-26,248043.03,Debit
301,2503,2026-02-12,93717.67,Debit
302,2895,2025-05-12,221101.9,Debit
303,4425,2024-09-22,114712.8,Credit
304,1561,2025-01-12,68158.97,Credit
305,2647,2025-07-02,167658.66,Debit
306,3101,2026-05-07,122479.54,Debit
307,1206,2025-06-01,107095.15,Credit
308,3953,2025-07-28,191396.04,Debit
309,620,2025-01-31,68408.55,Credit
310,4457,2025-12-05,96431.05,Credit
311,4575,2024-06-02,241554.99,Credit
312,3327,2025-07-16,172193.27,Credit
313,70,2025-05-19,144961.02,Credit
314,473,2025-12-31,39060.68,Debit
315,514,2026-05-06,39049.99,Credit
316,2542,2025-02-01,245267.79,Credit
317,3964,2024-07-16,109119.85,Credit
318,170,2024-06-28,6887.08,Debit
319,776,2025-12-25,62597.12,Debit
320,1325,2025-01-04,157349.43,Credit
321,2553,2024-12-29,6202.06,Credit
322,2220,2024-06-16,49493.32,Debit
323,2770,2025-01-06,234813.65,Debit
324,1057,2025-07-04,231018.72,Debit
325,832,2025-09-03,70883.68,Credit
326,1230,2025-06-24,67586.81,Credit
327,3166,2024-09-26,86722.97,Debit
328,712,2025-06-01,228639.94,Debit
329,3701,2024-08-27,20891.62,Credit
330,199,2024-06-02,184648.5,Credit
331,1952,2026-01-07,170358.47,Credit
332,1641,2024-05-16,169311.4,Debit
333,3442,2026-03-03,180781.55,Credit
334,1620,2024-06-12,30456.79,Credit
335,2901,2025-02-06,129581.41,Debit
336,1637,2024-06-08,190297.71,Credit
337,535,2025-10-17,221377.92,Debit
