ProductID,StockOnHand,ReorderLevel,Warehouse
PROD00001,3908,310,WH-B
PROD00002,3820,116, wh-a 
PROD00003,4320,11,WH-A
PROD00004,2345,326,WH-C
PROD00005,2928,176,WH-B
PROD00006,2168,256,WH-C
PROD00007,1223,135,WH-C
PROD00008,1736,493,WH-C
PROD00009,4465,345, wh-a 
PROD00010,395,56, wh-a 
PROD00011,2005,410,WH-A
PROD00012,3809,471,WH-A
PROD00013,3210,167,WH-C
PROD00014,3255,177,WH-A
PROD00015,1998,414,WH-B
PROD00016,559,50, wh-a 
PROD00017,4780,31,WH-B
PROD00018,3169,71,WH-A
PROD00019,3495,407,WH-C
PROD00020,3772,494,WH-A
PROD00021,3286,49,WH-C
PROD00022,4678,203,WH-A
PROD00023,4110,413,WH-C
PROD00024,4056,472, wh-a 
PROD00025,3653,333,WH-A
PROD00026,2403,52,WH-A
PROD00027,187,61,WH-C
PROD00028,2335,317,WH-A
PROD00029,312,196,WH-C
PROD00030,2929,356, wh-a 
PROD00031,2727,351,WH-A
PROD00032,4640,416, wh-a 
PROD00033,3841,196,WH-C
PROD00034,1904,143, wh-a 
PROD00035,3407,232, wh-a 
PROD00036,433,66,WH-A
PROD00037,4934,24,WH-B
PROD00038,3618,207,WH-A
PROD00039,828,45, wh-a 
PROD00040,4832,88, wh-a 
PROD00041,3168,458,WH-C
PROD00042,2118,461,WH-B
PROD00043,3183,136,WH-A
PROD00044,141,118,WH-C
PROD00045,2534,37,WH-A
PROD00046,1629,163,WH-C
PROD00047,2809,124,WH-A
PROD00048,3984,55, wh-a 
PROD00049,211,95, wh-a 
PROD00050,1851,471, wh-a 
PROD00051,4069,129,WH-B
PROD00052,3818,409,WH-C
PROD00053,3573,239,WH-C
PROD00054,2249,204,WH-A
PROD00055,4290,141, wh-a 
PROD00056,1944,292,WH-C
PROD00057,1981,34, wh-a 
PROD00058,1770,364, wh-a 
PROD00059,4301,15,WH-C
PROD00060,3810,213,WH-A
PROD00061,1269,43,WH-A
PROD00062,3364,197,WH-C
PROD00063,359,397,WH-A
PROD00064,472,291, wh-a 
PROD00065,4123,26,WH-C
PROD00066,1624,480,WH-C
PROD00067,2552,492,WH-A
PROD00068,4092,364,WH-B
PROD00069,4611,291,WH-B
PROD00070,4152,413,WH-C
PROD00071,3438,414,WH-A
PROD00072,4931,50,WH-B
PROD00073,1631,125,WH-C
PROD00074,1341,325,WH-C
PROD00075,802,169,WH-C
PROD00076,3495,15,WH-A
PROD00077,832,362,WH-A
PROD00078,4305,218,WH-A
PROD00079,2970,223,WH-A
PROD00080,3916,107,WH-A
PROD00081,3072,468,WH-C
PROD00082,3812,264, wh-a 
PROD00083,1442,210,WH-B
PROD00084,4381,494,WH-C
PROD00085,1713,158,WH-B
PROD00086,3818,43,WH-A
PROD00087,1982,236,WH-C
PROD00088,4979,400, wh-a 
PROD00089,1016,428,WH-A
PROD00090,616,456,WH-C
PROD00091,4290,293, wh-a 
PROD00092,3041,47,WH-B
PROD00093,4771,438,WH-A
PROD00094,1451,33, wh-a 
PROD00095,1559,231,WH-A
PROD00096,4399,468,WH-A
PROD00097,1606,449,WH-B
PROD00098,2359,396,WH-B
PROD00099,2026,218,WH-B
PROD00100,239,400,WH-A
PROD00101,1719,211,WH-C
PROD00102,3869,349,WH-C
PROD00103,3721,384, wh-a 
PROD00104,698,313, wh-a 
PROD00105,2463,251,WH-A
PROD00106,4700,232,WH-A
PROD00107,2984,214,WH-C
PROD00108,1398,434,WH-C
PROD00109,318,409, wh-a 
PROD00110,2727,376,WH-A
PROD00111,28,369, wh-a 
PROD00112,910,274,WH-B
PROD00113,3923,108,WH-B
PROD00114,1576,473,WH-B
PROD00115,1243,110,WH-A
PROD00116,1696,351,WH-C
PROD00117,3414,414,WH-A
PROD00118,1201,470, wh-a 
PROD00119,675,450,WH-A
PROD00120,3101,370,WH-A
PROD00121,3717,319, wh-a 
PROD00122,4775,121, wh-a 
PROD00123,2402,395,WH-C
PROD00124,185,396,WH-C
PROD00125,3495,357,WH-A
PROD00126,2530,66,WH-C
PROD00127,3358,266, wh-a 
PROD00128,2137,471, wh-a 
PROD00129,4943,203, wh-a 
PROD00130,772,208,WH-B
PROD00131,1340,267,WH-B
PROD00132,2195,278,WH-B
PROD00133,3453,255, wh-a 
PROD00134,3158,211,WH-B
PROD00135,3907,376, wh-a 
PROD00136,218,333,WH-B
PROD00137,1368,385,WH-B
PROD00138,1329,491, wh-a 
PROD00139,4142,201,WH-A
PROD00140,4999,207,WH-B
PROD00141,1804,76,WH-C
PROD00142,2306,244,WH-A
PROD00143,4794,268,WH-C
PROD00144,1257,122,WH-C
PROD00145,212,431,WH-B
PROD00146,2212,208,WH-B
PROD00147,1129,80, wh-a 
PROD00148,4461,111,WH-A
PROD00149,3765,159,WH-C
PROD00150,4624,403,WH-A
PROD00151,2561,48, wh-a 
PROD00152,1885,276,WH-B
PROD00153,3614,357,WH-B
PROD00154,4478,152, wh-a 
