ProductID,ProductName,Category,SubCategory,Brand,UnitPrice,UnitCost
PROD00001,Apple Printer,Office Equipment,Scanner,Sony,136001.7,65408.39
PROD00002,Asus Keyboard,Accessories,Keyboard,Apple,83265.84,35054.82
PROD00003,Dell Scanner,Office Equipment,Printer,HP,129820.31,64733.12
PROD00004,Logitech Audio,Electronics,Mobile,Sony,123944.71,88624.32
PROD00005,Dell Networking,Office Equipment,Networking,Apple,147194.53,99284.85
PROD00006,Logitech Printer,Office Equipment,Scanner,Samsung,85165.15,6123.81
PROD00007,Sony Computers,Electronics,Audio,Epson,86817.38,57564.82
PROD00008,Samsung Storage,Accessories,Keyboard,Apple,98296.09,10122.55
PROD00009,Epson Keyboard,Accessories,Keyboard,Dell,73285.88,42253.33
PROD00010,Samsung Mouse,Accessories,Keyboard,Logitech,68951.86,72400.55
PROD00011,Epson Printer,Office Equipment,Scanner,Asus,141742.86,44300.49
PROD00012,Sony Scanner,Office Equipment,Scanner,Canon,88267.28,33979.54
PROD00013,Asus Computers,Electronics,Mobile,Asus,132804.76,93146.6
PROD00014,Asus Scanner,Office Equipment,Networking,Asus,129841.27,69363.02
PROD00015,HP Keyboard,Accessories,Keyboard,Apple,31317.62,30046.39
PROD00016,HP Computers,Electronics,Audio,HP,131537.33,68793.38
PROD00017,Logitech Mobile,Electronics,Mobile,Asus,2532.86,84002.58
PROD00018,Apple Storage,Accessories,Storage,Lenovo,63196.5,40839.05
PROD00019,Dell Keyboard,Accessories,Keyboard,Canon,52428.25,4666.2
PROD00020,Asus Keyboard,Accessories,Storage,Sony,26483.57,45360.39
PROD00021,Apple Printer,Office Equipment,Scanner,Lenovo,90006.32,64749.18
PROD00022,HP Mouse,Accessories,Keyboard,Lenovo,115925.25,80631.52
PROD00023,Asus Computers,Electronics,Audio,Samsung,65034.9,73499.38
PROD00024,Asus Scanner,Office Equipment,Scanner,Lenovo,96278.52,86312.01
PROD00025,Canon Audio,Electronics,Audio,Asus,20181.34,88208.71
PROD00026,Lenovo Mouse,Accessories,Mouse,Samsung,71286.73,54716.33
PROD00027,Canon Computers,Electronics,Computers,Epson,79860.26,95978.6
PROD00028,Canon Computers,Electronics,Audio,Lenovo,93132.85,71989.3
PROD00029,Dell Scanner,Office Equipment,Networking,Samsung,141088.27,21645.07
PROD00030,Samsung Mouse,Accessories,Storage,Lenovo,44051.79,8549.2
PROD00031,Epson Scanner,Office Equipment,Networking,Lenovo,82173.23,72983.42
PROD00032,Apple Audio,Electronics,Mobile,Asus,65067.89,26205.73
PROD00033,HP Printer,Office Equipment,Networking,HP,41795.81,76188.28
PROD00034,Samsung Printer,Office Equipment,Printer,Lenovo,44666.03,47338.77
PROD00035,HP Networking,Office Equipment,Printer,Lenovo,31564.74,47665.22
PROD00036,Asus Mobile,Electronics,Mobile,Canon,14334.83,61236.87
PROD00037,Samsung Computers,Electronics,Mobile,Epson,14053.4,65387.18
PROD00038,Canon Keyboard,Accessories,Storage,HP,12340.54,15513.49
PROD00039,Samsung Storage,Accessories,Keyboard,Canon,41593.18,42579.54
PROD00040,Sony Audio,Electronics,Audio,Lenovo,93202.23,93017.66
PROD00041,Samsung Scanner,Office Equipment,Scanner,Apple,9068.28,76146.17
PROD00042,Asus Mobile,Electronics,Audio,Epson,104482.81,78990.39
PROD00043,Logitech Audio,Electronics,Computers,Canon,94108.79,73109.03
PROD00044,Lenovo Mobile,Electronics,Audio,HP,123303.84,45557.49
PROD00045,Lenovo Storage,Accessories,Mouse,Sony,108607.07,29325.24
PROD00046,Sony Computers,Electronics,Computers,Logitech,21572.95,63393.12
PROD00047,Epson Keyboard,Accessories,Keyboard,Canon,145352.14,45882.04
PROD00048,Lenovo Storage,Accessories,Keyboard,Epson,59904.41,25914.4
PROD00049,Logitech Keyboard,Accessories,Mouse,Canon,128304.33,66088.33
PROD00050,Dell Networking,Office Equipment,Printer,Apple,42803.81,93103.07
PROD00051,Sony Storage,Accessories,Storage,Samsung,102494.08,56283.81
PROD00052,Dell Printer,Office Equipment,Scanner,Epson,49628.7,85407.96
PROD00053,Asus Audio,Electronics,Computers,Apple,109337.44,30984.99
PROD00054,Sony Mobile,Electronics,Audio,Dell,23965.31,15286.06
PROD00055,Dell Keyboard,Accessories,Keyboard,Logitech,36440.81,12334.4
PROD00056,Samsung Keyboard,Accessories,Mouse,Lenovo,144169.66,89195.13
PROD00057,Canon Storage,Accessories,Keyboard,Canon,121168.9,1344.19
PROD00058,HP Keyboard,Accessories,Mouse,HP,65141.23,62479.12
PROD00059,Dell Mouse,Accessories,Mouse,Logitech,12305.9,52264.97
PROD00060,Apple Scanner,Office Equipment,Printer,Lenovo,17636.23,88979.42
PROD00061,Asus Mouse,Accessories,Keyboard,Lenovo,102799.12,87934.54
PROD00062,Logitech Mouse,Accessories,Keyboard,Asus,9712.44,30800.04
PROD00063,Asus Storage,Accessories,Storage,HP,19058.84,69560.03
PROD00064,Epson Keyboard,Accessories,Keyboard,Epson,38304.74,55001.08
PROD00065,Epson Printer,Office Equipment,Networking,Canon,12525.55,25800.57
PROD00066,Logitech Scanner,Office Equipment,Scanner,HP,54166.66,60324.23
PROD00067,Sony Keyboard,Accessories,Storage,Apple,10329.31,38922.44
PROD00068,Apple Networking,Office Equipment,Printer,Dell,93307.53,17970.56
PROD00069,Samsung Storage,Accessories,Mouse,Lenovo,127051.89,8812.83
PROD00070,Epson Audio,Electronics,Computers,Lenovo,107179.82,56584.6
PROD00071,Logitech Keyboard,Accessories,Mouse,Epson,10864.48,80114.49
PROD00072,Lenovo Computers,Electronics,Mobile,Dell,145883.84,96655.49
PROD00073,Apple Mobile,Electronics,Audio,Dell,6257.64,89195.05
PROD00074,Canon Networking,Office Equipment,Printer,Sony,64932.4,35267.9
PROD00075,Samsung Mouse,Accessories,Keyboard,HP,104496.47,92194.02
