PurchaseID,PurchaseDate,SupplierID,ProductID,Quantity,UnitCost,PurchaseAmount
P000001,2024-08-10,SUP0098,PROD03781,37,34025.07,1258927.59
P000002,2025-10-23,SUP0016,PROD01414,96,23081.92,2215864.32
P000003,2024-05-21,SUP0396,PROD03702,32,11145.1,356643.2
P000004,2023-03-05,SUP0834,PROD02156,93,48475.33,4508205.69
P000005,2023-10-01,SUP0217,PROD02191,81,20984.54,1699747.74
P000006,2023-04-25,SUP0701,PROD00780,22,63397.37,1394742.14
P000007,2025-11-04,SUP0119,PROD00197,17,59473.02,1011041.34
P000008,2025-08-10,SUP0361,PROD04495,38,61645.19,2342517.22
P000009,2024-06-27,SUP0199,PROD04644,50,30684.03,1534201.5
P000010,2023-11-27,SUP0516,PROD02477,89,71058.67,6324221.63
P000011,2023-06-30,SUP0154,PROD01776,92,90357.36,8312877.12
P000012,2023-10-11,SUP0016,PROD01730,52,44050.81,2290642.12
P000013,2023-09-28,SUP0464,PROD01640,70,98627.19,6903903.3
P000014,2024-04-01,SUP0042,PROD03369,38,20714.63,787155.94
P000015,2023-12-12,SUP0608,PROD03496,43,21748.62,935190.66
P000016,2025-12-14,SUP0574,PROD02025,82,34920.65,2863493.3
P000017,2024-05-28,SUP0128,PROD00209,15,94054.35,1410815.25
P000018,2024-03-04,SUP0443,PROD00187,49,47309.92,2318186.08
P000019,2024-04-05,SUP0896,PROD03240,31,22116.63,685615.53
P000020,2023-11-29,SUP0135,PROD01674,48,64798.57,3110331.36
P000021,2023-11-12,SUP0761,PROD01490,43,36892.18,1586363.74
P000022,2024-07-03,SUP0136,PROD01845,59,11416.57,673577.63
P000023,2023-07-21,SUP0055,PROD04417,62,5230.29,324277.98
P000024,2025-02-22,SUP0714,PROD01135,60,96841.38,5810482.8
P000025,2024-04-01,SUP0331,PROD03226,65,92727.58,6027292.7
P000026,2024-01-05,SUP0646,PROD03517,59,82942.52,4893608.68
P000027,2023-08-15,SUP0088,PROD03389,77,89377.24,6882047.48
P000028,2025-09-02,SUP0419,PROD02019,45,88021.99,3960989.55
P000029,2023-03-29,SUP0014,PROD03329,57,8918.45,508351.65
P000030,2025-02-08,SUP0312,PROD02708,38,98892.59,3757918.42
P000031,2025-06-15,SUP0185,PROD04190,26,27072.96,703896.96
P000032,2024-01-25,SUP0625,PROD03860,64,35607.85,2278902.4
P000033,2024-12-18,SUP0713,PROD03481,38,73407.42,2789481.96
P000034,2023-10-23,SUP0339,PROD01279,86,44636.36,3838726.96
P000035,2023-09-28,SUP0094,PROD03665,29,88042.16,2553222.64
P000036,2024-04-07,SUP0789,PROD02780,62,77114.67,4781109.54
P000037,2025-12-05,SUP0513,PROD00362,90,29844.99,2686049.1
P000038,2023-07-15,SUP0699,PROD00539,37,96752.43,3579839.91
P000039,2024-07-15,SUP0876,PROD04258,35,45171.62,1581006.7
P000040,2025-10-29,SUP0005,PROD01428,82,8338.49,683756.18
P000041,2025-12-10,SUP0878,PROD04153,82,32801.14,2689693.48
P000042,2024-04-12,SUP0017,PROD04891,39,91189.1,3556374.9
P000043,2025-07-14,SUP0947,PROD03709,38,87434.86,3322524.68
P000044,2025-02-06,SUP0037,PROD03481,19,73407.42,1394740.98
P000045,2024-06-06,SUP0659,PROD04818,95,10840.61,1029857.95
P000046,2024-09-02,SUP0409,PROD02121,14,32234.19,451278.66
P000047,2025-08-10,SUP0783,PROD01758,94,31897.52,2998366.88
P000048,2023-01-26,SUP0934,PROD02473,51,77670.08,3961174.08
P000049,2023-12-06,SUP0522,PROD01713,24,76386.99,1833287.76
P000050,2024-06-17,SUP0741,PROD00424,57,74053.74,4221063.18
P000051,2024-05-28,SUP0405,PROD03581,86,27587.81,2372551.66
