SalesID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,SalesAmount,Discount,Profit
S000001,2025-03-24,CUST05166,PROD02637,12,13446.11,161353.32,15,29043.6
S000002,2024-06-11,CUST00679,PROD02606,1,30328.15,30328.15,10,5459.07
S000003,2025-05-23,CUST03279,PROD02251,9,97370.67,876336.03,0,157740.49
S000004,2025-06-10,CUST07084,PROD01424,5,123303.4,616517.0,5,110973.06
S000005,2025-04-05,CUST05854,PROD03414,2,22777.57,45555.14,10,8199.93
S000006,2023-10-27,CUST03719,PROD00372,3,89762.87,269288.61,10,48471.95
S000007,2023-12-21,CUST00645,PROD04166,4,67413.13,269652.52,15,48537.45
S000008,2024-10-24,CUST06685,PROD03284,3,37545.34,112636.02,0,20274.48
S000009,2023-11-05,CUST07370,PROD02200,1,105804.14,105804.14,,19044.75
S000010,2025-04-05,CUST03307,PROD01258,7,68686.27,480803.89,0,86544.7
S000011,2023-04-18,CUST03259,PROD03887,5,148199.02,740995.1,10,133379.12
S000012,2023-02-15,CUST03773,PROD00523,8,81397.71,651181.68,15,117212.7
S000013,2023-03-08,CUST03507,PROD04226,2,86830.94,173661.88,10,31259.14
S000014,2023-09-20,CUST04389,PROD00919,7,114596.82,802177.74,5,144391.99
S000015,2023-09-23,CUST03217,PROD03367,5,24338.94,121694.7,5,21905.05
S000016,2023-08-16,CUST07100,PROD04457,1,38428.82,38428.82,,6917.19
S000017,2025-12-08,CUST06698,PROD03316,1,17349.36,17349.36,10,3122.88
S000018,2023-08-13,CUST02452,PROD04320,11,40176.18,441937.98,15,79548.84
S000019,2024-07-11,CUST08087,PROD03927,8,5065.9,40527.2,10,7294.9
S000020,2025-08-30,CUST07448,PROD01437,13,38472.78,500146.14,5,90026.31
S000021,2024-12-21,CUST00389,PROD01642,12,131111.21,1573334.52,,283200.21
S000022,2025-04-23,CUST05955,PROD01601,10,24845.82,248458.2,5,44722.48
S000023,2024-08-11,CUST02264,PROD01191,2,147680.99,295361.98,5,53165.16
S000024,2025-10-26,CUST09157,PROD01445,1,17727.0,17727.0,10,3190.86
S000025,2025-09-06,CUST01956,PROD03219,11,136800.84,1504809.24,5,270865.66
S000026,2023-03-03,CUST06902,PROD02495,14,63146.36,884049.04,,159128.83
S000027,2024-08-23,CUST00056,PROD03586,13,53055.55,689722.15,,124149.99
S000028,2024-06-05,CUST06042,PROD04339,9,13712.36,123411.24,15,22214.02
S000029,2024-09-02,CUST03025,PROD04380,2,24616.43,49232.86,5,8861.91
S000030,2023-06-20,CUST01355,PROD04695,14,13192.9,184700.6,15,33246.11
S000031,2024-08-22,CUST01994,PROD00834,7,137843.13,964901.91,,173682.34
S000032,2025-07-28,CUST06689,PROD03932,4,33411.23,133644.92,,24056.09
S000033,2024-09-07,CUST03310,PROD02045,4,83147.95,332591.8,10,59866.52
S000034,2025-05-26,CUST01254,PROD00384,5,27979.91,139899.55,10,25181.92
S000035,2025-04-07,CUST05238,PROD01253,4,83016.46,332065.84,0,59771.85
S000036,2025-01-21,CUST02391,PROD04602,8,108089.37,864714.96,5,155648.69
S000037,2024-10-06,CUST00412,PROD01560,14,79624.28,1114739.92,0,200653.19
S000038,2024-04-10,CUST02200,PROD02712,12,98808.75,1185705.0,10,213426.9
S000039,2023-11-29,CUST00723,PROD03408,1,34514.17,34514.17,15,6212.55
S000040,2025-02-20,CUST09483,PROD02274,10,100644.48,1006444.8,,181160.06
S000041,2025-07-25,CUST03258,PROD01243,2,105037.38,210074.76,0,37813.46
S000042,2025-07-29,CUST03475,PROD03690,10,116114.45,1161144.5,15,209006.01
S000043,2024-10-25,CUST04542,PROD02581,5,123802.23,619011.15,5,111422.01
S000044,2024-12-04,CUST00258,PROD01229,13,13327.09,173252.17,,31185.39
S000045,2025-05-15,CUST05007,PROD01253,14,83016.46,1162230.44,15,209201.48
S000046,2024-11-26,CUST02128,PROD02896,8,92639.39,741115.12,,133400.72
S000047,2024-08-15,CUST01356,PROD04519,11,113381.3,1247194.3,10,224494.97
S000048,2023-11-29,CUST02834,PROD02803,14,23484.55,328783.7,10,59181.07
S000049,2025-02-26,CUST03551,PROD02587,13,135003.74,1755048.62,0,315908.75
S000050,2024-11-29,CUST09906,PROD02013,2,122637.1,245274.2,5,44149.36
S000051,2023-11-03,CUST00349,PROD01451,10,147585.67,1475856.7,0,265654.21
S000052,2025-11-27,CUST01869,PROD02993,7,79294.69,555062.83,0,99911.31
S000053,2023-09-06,CUST02140,PROD04424,12,113338.77,1360065.24,15,244811.74
S000054,2025-03-25,CUST01417,PROD01301,7,147088.18,1029617.26,15,185331.11
S000055,2025-10-16,CUST06617,PROD03198,1,52103.47,52103.47,15,9378.62
S000056,2025-09-23,CUST03433,PROD03613,2,80750.56,161501.12,15,29070.2
S000057,2024-01-16,CUST05707,PROD02502,7,50863.23,356042.61,10,64087.67
S000058,2025-03-27,CUST02946,PROD03056,10,47981.7,479817.0,15,86367.06
S000059,2024-04-10,CUST07285,PROD00453,4,7034.27,28137.08,5,5064.67
S000060,2023-08-06,CUST02684,PROD04153,8,4889.36,39114.88,,7040.68
S000061,2023-03-03,CUST03354,PROD01569,8,81562.57,652500.56,,117450.1
S000062,2024-09-24,CUST04190,PROD03551,12,747.02,8964.24,,1613.56
S000063,2023-06-14,CUST02186,PROD01995,11,26145.31,287598.41,15,51767.71
S000064,2025-12-03,CUST02489,PROD00243,2,7956.68,15913.36,15,2864.4
