SupplierID,SupplierName,SupplierType,City,State,Country,Rating
SUP0001,Metro Supplies,Distributor,Delhi,Telangana,India,5 
SUP0002,Prime Traders,Distributor,Chennai,Maharashtra,India,4
SUP0003,Global Distributors,Wholesaler,Mumbai,Delhi,India, 4
SUP0004,Prime Distributors,Manufacturer,Chennai,Delhi,India, 4
SUP0005,Elite Supplies,Wholesaler,Ahmedabad,Telangana,India,5 
SUP0006,Global Technologies,Distributor,Pune,Maharashtra,India,4
SUP0007,National Technologies,Manufacturer,Pune,Gujarat,India,3
SUP0008,National Supplies,Wholesaler,Bangalore,Telangana,India,
SUP0009,National Technologies,Wholesaler,Hyderabad,Karnataka,India, 4
SUP0010,National Supplies,Distributor,Pune,Telangana,India,1
SUP0011,Global Supplies,Manufacturer,Ahmedabad,Delhi,India,1
SUP0012,Global Traders,Manufacturer,Bangalore,Maharashtra,India,5 
SUP0013,Metro Distributors,Manufacturer,Ahmedabad,Karnataka,India,5 
SUP0014,National Supplies,Manufacturer,Ahmedabad,Karnataka,India, 4
SUP0015,Metro Technologies,Distributor,Chennai,Maharashtra,India,4
SUP0016,Elite Supplies,Wholesaler,Pune,Telangana,India,5 
SUP0017,Metro Supplies,Wholesaler,Mumbai,Tamil Nadu,India,3
SUP0018,Prime Traders,Distributor,Delhi,Gujarat,India,4
SUP0019,Prime Traders,Manufacturer,Hyderabad,Gujarat,India,
SUP0020,Elite Supplies,Distributor,Bangalore,Tamil Nadu,India,1
SUP0021,Metro Traders,Wholesaler,Ahmedabad,Tamil Nadu,India, 4
SUP0022,Metro Traders,Distributor,Hyderabad,Tamil Nadu,India,1
SUP0023,National Distributors,Wholesaler,Pune,Gujarat,India,1
SUP0024,Metro Distributors,Distributor,Pune,Telangana,India,3
SUP0025,Global Supplies,Wholesaler,Bangalore,Karnataka,India,4
SUP0026,Elite Distributors,Distributor,Bangalore,Karnataka,India,4
SUP0027,Elite Traders,Distributor,Bangalore,Maharashtra,India,2
SUP0028,Elite Distributors,Distributor,Pune,Delhi,India,3
SUP0029,Prime Distributors,Manufacturer,Hyderabad,Gujarat,India,
SUP0030,Prime Traders,Distributor,Delhi,Telangana,India, 4
SUP0031,Global Distributors,Manufacturer,Bangalore,Tamil Nadu,India,4
SUP0032,National Traders,Distributor,Delhi,Telangana,India,
SUP0033,Elite Technologies,Wholesaler,Bangalore,Telangana,India,1
SUP0034,Prime Distributors,Manufacturer,Pune,Maharashtra,India,
SUP0035,Prime Supplies,Distributor,Ahmedabad,Gujarat,India,
SUP0036,Prime Traders,Wholesaler,Chennai,Delhi,India,5 
SUP0037,Metro Supplies,Wholesaler,Ahmedabad,Telangana,India,5 
SUP0038,Global Traders,Manufacturer,Chennai,Telangana,India,2
SUP0039,Metro Traders,Distributor,Mumbai,Telangana,India,5 
SUP0040,Prime Supplies,Manufacturer,Bangalore,Tamil Nadu,India,4
SUP0041,National Distributors,Distributor,Surat,Gujarat,India, 4
SUP0042,Prime Supplies,Distributor,Bangalore,Maharashtra,India,5
SUP0043,Global Distributors,Manufacturer,Pune,Tamil Nadu,India,3
SUP0044,Metro Supplies,Manufacturer,Surat,Delhi,India,
SUP0045,Metro Supplies,Manufacturer,Hyderabad,Gujarat,India,4
SUP0046,Metro Distributors,Wholesaler,Pune,Delhi,India,5
SUP0047,Metro Distributors,Wholesaler,Surat,Gujarat,India,
SUP0048,Metro Technologies,Manufacturer,Surat,Karnataka,India,5 
SUP0049,Elite Distributors,Distributor,Mumbai,Tamil Nadu,India,
SUP0050,National Distributors,Wholesaler,Hyderabad,Gujarat,India,4
SUP0051,National Traders,Manufacturer,Bangalore,Maharashtra,India,1
SUP0052,Metro Technologies,Manufacturer,Delhi,Maharashtra,India,2
SUP0053,National Traders,Distributor,Delhi,Delhi,India,1
SUP0054,Global Distributors,Distributor,Hyderabad,Maharashtra,India,
SUP0055,Prime Traders,Distributor,Ahmedabad,Tamil Nadu,India,1
SUP0056,Global Distributors,Wholesaler,Hyderabad,Gujarat,India,
SUP0057,Elite Traders,Distributor,Surat,Gujarat,India,5
SUP0058,Elite Technologies,Distributor,Hyderabad,Telangana,India,2
